question_text,option_a,option_b,option_c,option_d,correct_answer
"What is a ""listener"" according to GST 101?",Someone who hears and ignores,"Someone who hears, understands, and may act upon what is said",Someone who speaks during a discussion,Someone who can only lip-read,b
The deaf are said to listen using what?,Tape recorders,Microphones,Audio tapes,Sign language,d
Listening activities are divided into which two parts?,Listening to lectures and listening to music,Listening in social settings and listening for specific purposes,Listening for entertainment and listening for study,Listening in class and listening at home,b
Listening to gather information or directions is known as?,General listening,Social listening,Specific listening,Casual listening,c
Which is NOT a purpose of listening to gather information?,Telephone conversation,Day-to-day activity,Having a cold bath,Critical evaluation,c
What is the first enabling skill for active listening?,Anti-noise gadgets,Concentration,Loudspeaker,Note-taking,b
Which skill involves thinking along with the speaker?,Functioning ears,Concentration,Anticipation,Note-taking,c
"In listening, ""relationship"" refers to?",Connecting previous statements to current ideas,Personal bond with the speaker,Listening with empathy,Understanding slide transitions,a
Which factor can negatively affect comprehension?,Deep background knowledge,Wide vocabulary,Lack of interest,Clear pronunciation,c
What is the main purpose of note-taking during lectures?,Write everything word-for-word,Summarize the main points,Decorate your notebook,Show off your handwriting,b
Skimming is used to:,Locate specific information quickly,Understand every detail slowly,Read closely for accuracy,Improve memory of details,a
Which reading speed is slowest and used for deep comprehension?,Skimming speed,Fast speed,Average speed,Study speed,d
Which of these does NOT contribute to textual cohesion?,Use of pronouns,Repetition of words,Logical arrangement of sentences,Random quotations,d
Expository texts typically do NOT:,Explain a concept,Follow a logical order,Include narratives or storytelling,Present ideas formally,c
Narrative texts generally follow:,Random order,Sequential order,Argumentative structure,Nonlinear style,b
Which is NOT a feature of effective reading?,Guiding question,Fast speed reading,Reading whole pages without scanning,Surveying headings,c
"What does ""knowledge management"" ensure in a workplace?",Time scheduling,Group chat creation,"Capture, storage, and sharing of expertise",Personal reminders,c
Workflow refers to:,Email chain in an organization,"Steps, people, tools involved in a business process",An interface for information access,Mobile messaging,b
Groupware enables individuals to:,Play group games online,Collaborate electronically across locations,Share cat videos,Browse social media,b
"In unit 3, what is the difference between note-taking and note-making?","Note-taking from lectures, note-making from books","Note-taking from novels, note-making from lectures",Note-taking always uses bullet points,Note-making is only diagrams,a
"Which abbreviation is commonly used in notes for ""that is""?",i.e.,e.g.,viz,sb,a
A plosive sound in phonetics is also called a:,Nasal,Fricative,Stop,Glide,c
"Which affixation method forms irregular plurals like ""men"" and ""feet""?",Suffixation,Prefixation,Derivation,Infixation,c
Which devices are examples of acronym formation?,"dictionary, thesaurus","WAEC, NEPA, ECOWAS","quick, quicker, quickest","read, reading, readability",b
Which is NOT a common fault in reading?,Vocalizing silently,Using finger to follow words,Reading very fast without comprehension,Scanning for key information,d
What helps you identify the main idea when listening?,Writing every word,Guiding questions and transitional clues,Listening less attentively,Avoiding note-taking,b
"Transitional words like ""firstly"", ""however"", and ""therefore"" help with reading by:",Slowing down the reader,Showing important points or changes in ideas,Acting as decorative phrases,Hiding the main ideas,b
Why is flexible reading speed important?,To skim all materials at high speed only,To adapt reading speed to purpose (e.g. skimming vs studying),To read everything word-for-word,To avoid reading at all,b
Skimming focuses on:,Reading every detail closely,Getting an overview fast,Memorizing numbers,Listening to audio only,b
Scanning is most useful for:,Reading entire chapters slowly,Locating specific information quickly,Writing summaries,Taking notes in full sentences,b
Effective reading always begins with:,Choosing a color pen,Asking yourself a guiding question,Writing an essay first,Skipping headings,b
"In note-making from texts, you should:",Copy lines verbatim,Use headings and sub-headings to organize points,Write full paragraphs,Ignore signal words,b
Which of these is NOT a benefit of good note-taking?,Organizing your thoughts,Saving time during review,Writing all lecture content in full,Capturing only major points,c
Which of these is a purpose of comprehension?,Understanding surface impressions only,Interpreting speaker's viewpoints critically,Ignoring main ideas,Memorizing random details,b
"What does ""self-assessment exercise"" in GST refer to?",Mandatory assignments for grading,Exercises done by students for personal reflection,Exams given by tutors,Group projects,b
