question_text,option_a,option_b,option_c,option_d,correct_answer
"Distinguish between the concept of heat and temperature.","Heat is a form of energy transferred; temperature measures hotness.","Heat is a measure of hotness; temperature is energy.","Heat and temperature both measure energy only.","Heat is tangibility; temperature is matter.",a
"Which of the following is NOT true?","Evaporation occurs at any temperature of a liquid.","Boiling takes place only at the surface of the liquid.","Evaporation occurs only at the surface of a liquid.","Boiling of a liquid takes place at a definite temperature and pressure.",b
"Linear expansivity α refers to the increase in length per original length per degree C.","True","False – it refers to volume change.","False – it refers to density change.","False – it refers to area expansion.",a
"Boyle's Law states that at constant temperature PV is:","Constant","Proportional to V²","Proportional to T","Inverse of pressure",a
"Thermal conductivity in solids can be compared using the concept of:","Equivalent material","Specific heat","Thermal expansion","Density difference",a
"Heat capacity is the amount of heat required to change temperature by:","1 °C","10 °C","1 K per kilogram","per mole of substance",a
"Specific latent heat of fusion refers to heat required to convert:","1 kg solid at melting point to liquid at same temperature","1 g solid to gas at its boiling point","1 kg liquid to vapor above boiling point","1 g solid to liquid below melting point",a
"A gas follows PV = nRT. This is known as the:","Ideal gas equation","Boyle's law","Charles's law","Avogadro's law",a
"Which of the following measures the degree of hotness objectively?","Thermometer","Heat capacity","Specific heat","Power",a
"The study of heat measurement is known as:","Calorimetry","Thermometry","Thermodynamics","Heat transfer",a
"A clean glass capillary tube has angle of contact zero, so water in it:","Rises to form a meniscus","Falls in the tube","Has no capillary action","Spreads out flat",a
"Surface tension γ for water at 20 °C is approximately:","7.2 × 10⁻² N/m","4.5 × 10⁻¹ N/m","1.0 N/m","0.0 N/m",a
"Viscosity is fluid's resistance to:","Flow","Volume change","Temperature increase","Pressure change",a
"Bernoulli's equation relates fluid pressure with:","Velocity and height","Density change","Temperature only","Viscosity directly",a
"Archimedes' principle deals with which physical phenomenon?","Buoyancy","Viscosity","Surface tension","Thermal conduction",a
"Density is defined as mass divided by:","Volume","Area","Length","Time",a
"Relative density compares the density of a substance with that of:","Water","Air","Mercury","Oil",a
"Power is defined as the rate of:","Doing work or heat transfer","Heat absorption","Temperature rise","Mass flow",a
"Which scientist demonstrated that heat is a form of energy?","Prescot Joule","James Watt","Charles Law","Avogadro",a
"Types of thermometer include all EXCEPT:","Molecular thermometer","Liquid‐in‐glass thermometer","Resistance thermometer","Thermoelectric thermometer",a
"Self‑assessment exercises in the book help students to:","Review and practise key concepts","Learn new formulas only","Just read chapters passively","Ignore previous topics",a
"Charles's Law states that volume is proportional to:","Absolute temperature at constant pressure","Pressure at constant volume","Mass only","Force",a
